essay_id,full_text,score
004229b,"I do not think that driverless cars are a good idea, i believe this because there could be a lot of hazard and danger behind this action. First how would these computers like programs know when to go or turn at a stop light? This could create many dangers and conflicts on the road. Next how could these computers detect humans? If the car doesn't know a person is j walking it could run over the person and possibly kill them, and yes j walking is illegal but it still happens. Finally i don't think these computers are a good idea because of malfunction. If something goes wrong in the car or the brakes go out it can lead to death for the passenger. I just think these vehicles are a little way to risky and not safe. In the article it says these cars need to be proven more safe. So this means these cars are not safe at the moment. As you can see i believe these cars are not safe and i am against it.",2
0047cb3,"""It's a good oppurtunity to take away stress and lower air pollution,"" stated in

Car-free day is spinning into a big hit in Bogota.

Using means of transportation other than cars, such as walking or biking can release stress and help lower air pollution.

In German Suburb, Life Goes On Without Cars states """"When i had a car I was always tense. Im much happier this way,"" said Heidrun Walter, a media trainer and mother of two, as she walked the verdant streets where the swish of bicycles and the chatter of wandering children drown out the occasional distant motor."" This walk allowed her to release stress- versus driving a car could make her more stressed and causes air pollution.

""After days of near-record pollution, Paris enforced a partial driving ban to clear the air of the global city;"" from

Paris bans driving due to smog.

If less cars are being used, then there will be less air pollution and cleaner air.

By using other ways of transportation or limiting our use of cars, we can release stress and lower air pollution. Walking, biking, or carpooling are good ways to do so.                     ",2
005a72e,"I agree that driverless cars are a developing idea. I do like the fact that these cars should be used by the public. They could lead us to a whole other revolutionary idea with the way the human race lives our lives. It could help us all out with our neccessaties. Also it could help us with other sciences in our lives such as medical assisstants and drivers. Next, the ability to drive without a driver could help us alll in the aspect of the way on how we live our lives.

First, for example in the text paragraph 7 it says how the company of BMW has made the ""Trafiic Jam Assisstant"" which could help us drive up to 25 mph without the need to do anything at all. Driverless cars dont just help us at drving it helps us at being smarter. The science put into these cars to drive without any work is fascinating. If we could put that same science in other fields justy as medical, then the possibilites are endless. We could have assisstant doctors getting us tools that we need,when we need them, and alarming us when something is wrong.

Next, these cars are fantastic for elderly people who are unable to drive by themselves. They offer a sugnificant amount of assisstants for them so they dont have to rely on anyone else. Next, it could help keep us safe in our cars. For example, in the article in paragraph 7 it also states that these new cars have developed a drivers seat that ""vibrates"" when the vehicle is in danger of backing into an object. These cars can reduce the amount of vehicle incidents very much. Not only can they stop us from backing in to something but they can also stop us from being killed.

After that, they have video cameras also in every corner of the car to help the driver sense any danger around them. For Instance, in parapraph 4 they tell of how they have a ""spinning sensor on the roof that uses laser beams to form a constantly updated 3-d model of the car and it's surrounding. They need all of these so it could act as if a human being was in the driver's seat. Further more, these ""newer cars"" dont just give us new abilities, but also the new knowledge. They show us what needs improvement and what doesn't. Also, they help us guide our way to safety if we are lost.

To inculde, these cars could also lead us to anywhere we need. This is very important in case someone gets lost. For example, if someone is lost on a camping trip and is in the wrong spot there and needs assisstance, then there car could lead then to safety and tell them exactly where they are located. It could also serve as a discovery unit. For instance, if someone is in a new town or city then they need to know where the gas station, hotel, restaurant, etc are and there car would take them there. They would help them navigate to whereever there destination might be.

In conclusion, the need for cars that do not need a driver is very important to our everyday lives. They would help navigate, save, and make our lives easier. They would help our economy out tremendoulsy by reducing accidents and the death rate. Next, they would help with people who need it such as elderly and disabled people. Last, these cars are getting closer and closer to becoming a part of our daily lives already, because we have the science that helped us develop these types of cars now.",4
00613e3,"The election should be by popular vote of the citizens not by government hired official with some group name to make them sound important.

The electoral colledge is just a way for the people running for president to get votes that they do not deserve. There are 538 electors in the electoral colledge and that means that that is 538 votes that may or may not have gone in favor of the person that the people wanted for president. Out of the 538 elecors they only need 270 votes to elect a president. Why not let the people (who go through tougher times than government officials) get the votes to elect the president. Each candidate that is running for president has their own group of electors who would rather vote for their candidate so they can get a big fat paycheck, instead of actually sitting down and trying to decide who is the most qualified to run this country. There are others who think like me too, over 60 percent of voters would prefer a direct election instead of having suck up electors who don't even think about the people of the country. They do what they do best. Do you wnt to know what it is? They are suck ups for the candidate from their state (or to whomever has the most money).

There are some people who are going to say that the electoral colledge is a good way to elect our president and I understand that.

The electoral colledge might be a good thing because it consists of qualified government hired officials instead of everyday commoners like us. The electoral colledge was put into the Constitution so it must be worth something. Every state has their own candidate and with him are his electors, the best politicians that the government could hire for this job from that state. A majority of 270 votes is required to elect the president and some people might be like HEY!, that is 270 votes that we dont have to do. The electoral colledge might also be a good thing for people who don't care about who runs the country.

If this country was founded on freedom, don't we have the freedom, no, don't we have the right to vote for who runs this country. Not suck up politicians. We should vote for our President!     ",3
0065bd6,"Driverless cars should not exsist it can cause many accidents and possibly can result into death. I believe that driverless cars should not exsist because it can be dangerous to not just one person but for everyone.

Lets say you have a driverless car and sensors stopped working and you didn't know that, right there can cause a huge accident, just because the sensors stopped working.Or lets say you do get into an accident driving a driverless car who's fault would it be? We don't know. The text states in paragraph 9, ""If the technology fails and someone is injured, who is at fault the driver or the manufacture?"" People need to know who's fault it would be if they are driving a driverless car and get into an accident and possibly get injured.

There is no point of having a driverless car if it is not completely driverless. In paragraph 7 it states that, ""None of the cars developed so far are completely driverless."" It also states that, ""All are designed to notify the driver when the road ahead requires human skills."" What if the person using the driverless car isn't paying attention to the notification sign, or what if a person falls asleep and didn't hear the notification sign then what?

In paragraph 9 it states, ""Presently traffic laws are written with the assumption that the only safe car has a human driver in control at all times."" I completely agree with that statement because with a driverless car what if it loses control you won't be able to do anything about it because you are not in control of it, but with a person driving,

that person has100% control of what ever happens.          ",3
0066c7c,"My position on driveless cars are bad because i don't trust them. I have a couple reasons why i don't trust them. My first reason is accidents. Driveless cars could have a sytem malfunction and drive off course and something breaks and crash into somthing. This could happen to anyone such as police, buses, and simple pedestrians.

My second reason is too many driveless cars. If there were to make way too many drivless cars then it would alot of traffic because there are alot of cars who need a driver to drive. Such as if they were to go to the junk yard the junk yards would overflow and they would have to make more and more and less places to build houses or less crops for farmers.

My last reason is pollution. If aot of people bought all these driveless cars then so much pollution would comeup and take over the sky and people would get sick and die from breathing in the air. If they were to change gas into something else and something went wrong with the gas or something to run the cars, they would either blow up or cause to much pollution that they would have to refund all the people and people would stop buying these because they wouldn't trust them.

That's why i say no to driveless cars.            ",2
006c931,"What if we could tell how all of the people us were without even asking. Most people can tell when someone is sad, happy, or mad just by looking at them, but what happens when that person is hiding how they are truely feeling. What then? Well new techonlogy can allow us to see exctly how someone, who is trying to hide there emotions, is feeling. This is unfair for many reasons. The technology may be cool but people have a right to keep how they are feeling a secert.

The computer software works by making a 3-D computer model of the face; the computer watches the different muscles in the face move to identify how the person is feeling. The technolgy delevopted by Dr. Huang can even calculate mixed emotions with the exact percent of how strong the emotions are. Dr. Huang obseres that ""facial expressions for each emotion are universal"" I htought people expressed emotions in different ways though? Dr Hoang also states that ""even though individuals often show verying degrees of expression.""

People have a right to not tell people how they are feeling. Did we really need to know the Mona Lisa was 9 percent disgusted? Now that raises the question of why? Was Leonardo de Vinci's hair messed up? Or did she think he needed to take a shower? What is the point in knowing someone is feelings without knowing why? We do not need technology to ask someone how they are feeling. or even why the are feeling the way they are feeling that way.

There are really no benfits to knowing how someone is feeling without knowing why. The technology is very cool. It is crazy how Dr Huang was able to develope a computer that uses muscle movment to idenitfy emotions. The technology is useless though unless you are prepare and willing to ask why? ",3
006d0e1,"Have you ever seen Europe? What about China, or the Acropolis in Greece? Have you seen Venice, Italy, or the Panama Canal? If you've ever wanted to do those things, and help a lot of people while doing it, you're Seagoing Cowboy material. You should become a Seagoing Cowboy because of the hard work it teaches, the experience, and because you're supporting other countries, as well as your own!

First of all, we have the grueling hard work to speak of. Some may say that grueling hard work is not a reason to volunteer for something, but I disagree. Being a Seagoing Cowboy is nothing like a normal, boring life. Yes, you have hard work, but you get the greatest sense of satisfaction once you're done. You get to know that all your hard work has gone to helping people in need, and that you've really made a mark on this world. I think hard work is also the path to knowledge, and you may just learn some life lessons along the way.

Secondly, the fantastic experience is what we will cover. Some people may argue that the experience isn't worth risking your life over, but in reality, it's quite the contrary. If you're a Seagoing Cowboy, you get to travel the world, like I mentioned. You can see places like Greece, Italy, and China. Also, don't forget their unforgetable landmarks that you will see! Not only do you get to travel the world, but this is a once in a lifetime experience! We won't be around forever! Plus, I bet it will make one heck of a story to tell your grandchildren, am I right?

Finally, we have the service you are providing. Some may say you are better off in the military. This may be so, but would you rather be taking lives, or saving them? Plus, us Seagoing Cowboys were only created because of World War II to clean up the mess. Wouldn't it be counterproductive to start a World War III? Here, you get to help people, improve lives, and do good for your country, and the country you're in. I think that with more of us Seagoing Cowboys, we can make the world a better place.

Us Seagoing Cowboys know how to work hard, experienced a once in a lifetime chance, and supported our and many other countries. We've seen Europe, China, Greece, Italy, and even Panama! We've traveled the world, crossing oceans to and fro, for the good of mankind. So, what are you waiting for? Sign up today!",4
0072128,"Imagine a world without garages, gastations, or parkinglots. The problem with today's world is our lives revovle around cars to get us where we want to be and they have become a status symbol for many.  The thought of being without a car scares most people, but limiting car usage is becoming more popular in cities, and has shown many advantages in the enviorment and in the communities.  For example, the residents of Vauban, Germany have given up their cars compltely (Rosenthal).  On the otherhand, Paris, France banded driving due to smog-only odd license plates could drive one day and even numbered plates could drive the next day (Duffer).  Many advantages came with limiting driving in these cities such as, less air poplution from tailpipes, congestion lessened, and indroduced alternative ways of transportaion into differnet communities.

""Passenger cars are 12 percent of greenhouse gas emissions in Europe . . . and up to 50 percent in some car-intensive areas in the Unites States"" (Rosenthal).  This means if car usauge was limited than we could cut back on almost 50 percent of our polution in the United States.  ""Transportation is the second largest source for America's emissions"" (Rosenthal).  The limiting of car usage would also help and knock down cars as being the second biggest emissions source in the U.S.  Without so much air polution in the United States we could live healthier and better lives.  We would be able to ruduce global warmimg if we reduce the amount of driving we do.

Another advantage with limiting car usage would be the decrease in congestion around our city and towns.  ""Congestion was down 60 percent in the capital of France, after five days of intensifying smog"" (Duffer). This means that traffic would die down as well, there would be no more rush hour after work, and the roads would be safer because there would be less people driving on them.

Lastly, limiting car usage would bring people to find alternative and healthier ways to get to where they need to be.  In Bogota, Colombia every year for one day millions of people bike, skateboard, or take public transport to get where they want to be (Selsky).  With people using alternative ways to get to work it would not only  benefit the enviorment as well as benefiting their health.

The answer is clear, we need to limit the usage of cars in America.  Other countries are doing it and now is our time to jump on board with the movement of less car movement.  So the next time you get in the car and buckle your seatbelt think about the advantages that could come from not driving today.         ",4
0079938,"I don't like the idea of driveless cars. I feel like if a human can do it we should. Especially when it comes to things like that. like the idea of robots, would you really want something cleaning for you and taking care of older folks and children. I do think they are a good idea for the blind and people not going to far. Like since i live in Indiana, they would be a good idea for people in Indianapolis to get from the mall to like a resturant or something. Nothing major or far like driving from Indiana to California, not a good idea. I just don't trust things like that.

Driveless cars are sort of a good idea. they're are many pros and cons about the whole thing. I feel like they are dangerous because they could malfuncting and blow up or something. Or they will drive right into a buliding at full speed or something. No car is really safe in general, but letting a robot like thing drive your car is kinda a crazy idea. Another con is that they can't really drive by itself, it still needs you to hold the steering wheel and take control when around accident ot people working on roads. I feel like if they want to have driving cars they should just bulid a car that can drive people instead of a car that half does it. Another con is that they are basically illlegal in most states except a couple. Would we have to visit somewhere else to expericence what crazy technology the world has for us now. I also think they are a bad idea because driving are probably going to be directly on their phone, no hand on the steering wheel or anything. And like it says, when the car needs you to take over it will tell you to take over. But i feel like people will just ignore it and get into accidents they could have prevented.

Pros are that you can half drive. You wouldn't have to really pay attention to anything around you and you could just relax while driving. ",3
0079f2a,"In the text the author uses facts that people should know. Like how close Venus is to us and what could be possibly on it.

Also whats possibly on Also whats possibly on Mars, how each planet orbits at different speeds. NASA has sent many people into space to see what its like. Too see if we could have life on Venus and how each planet orbits at different speeds.

Venus is unlikely to live on because it has 97% carbon dioixde blankets. Even more challenging are the clouds of highly corrosive sulfuric acid in acid in Venu's atmosphere.

Even though we would like to put people on Venus its just to likely that someone could die from the atmosphere. Venus has looked like Earth in the past but thats when Venus had wildlife and oceans. so they could live, but now the atmosphere would just wipe everything off the planet from the heat. ",2
007db64,"This is right because the use of this technology put

smiles on people face and make people 83 percent

happy, 9 percent disgusted, 6 percent fearful, and 2

percent angry. The main point is that the person feel more

happy than sad, and also this gave human a better way to

communicate with computers like it says in the article,

""Dr. Huang and his colleague are experts at developing

better ways for humans and computers to communicate."" I am gald that scientist found a way for us to

communicate with the workd around us.

This should'nt be hard for us because us human

pefrom this in our daily life, like the article proclaim. This

is awesome beacuse the world will feel beter with a lot of

smily faces and every feeling happy about themself and

every body else around them, and there will be no

violence, there will be no argument, and the world will be a

better and peaceful place, a place where dreams come

true, and place where everyone is happy, a place where

we can xepress our feelings to each other and work things out.

work cited

D'Alto, Nick, ""Making Mona Lisa Smile,"" Carus Publishing

Company, November 2006.   ",2
0081f18,"i think that having self driving cars would help alot. there are so many wreacks in the states because some people just dont know how to drive right.

so if we was to invent and sell computerized cars it could stop us from having so many wreaks plus it would also cause us to drive way safer. for instance if your drunk and you have to get home you just sit in the car and it will drive for you since you cant do it yourself because your not in the right stae of mind.

there is also the thought of making better roads but when you think about it that would cost more then a fortune to do. one other reason im all for this invention is because you know that the people making these cars are gonna earn a tone of money so that means more people will be switching to the new car instead of their old one. before you know it there will be somthing new and even better in technology since we just keep getting smarter over the years. who knows we might be driving hover craft later on in a few years because alot can be learned.

although we would also have to make some new laws or change a few of them. like in the text it states that what if somone gets in a wreak in a smart car should the driver be blamed or the companies that sold the the car to that person beheld responcibale. there also still some improvements that have to be made before they can even start selling those cars .

those are the main reasons that i think making smarter cars is a great idea.",3
008341a,"A Seagoing Cowboy is someone who helped take animals to the countries that were devestated by World War ll.

I, Luke Bomberger, am a Seagoing Cowboy.

I not only got to help others who were in need, but I also got to expirience the sights and hisoric landmarks in other countries.

I highly encourage you to join the UNRRA (the United Nations Relief and Rehabilitation Administration) and be a Seagoing Cowboy.

Think of how sad you would be if you were devestated by the war and had barely anything left.

Wouldn't you want someone to help bring you supplies such as animals?

Well you can be one of the few people to contibute.

The families over seas are all very kind and appriciative.

Though they are still very much in need.

So, you would just be helping the cause by joining.

Over the past year, me and my friend, Don Reist, have had the opportunity to see historical landmarks.

The chance to just see Europe and China would have been special.

But Don and I got to expirience so much more than that.

We got to see the Acropolis in Greece.

Also, taking a gondola ride in Venice, Italy, a city with streets of water, was a treat.

I have also toured an excavated castle in Crete and marveled at the Panama Canal on my way to China.

Come on.

Don't tell me you wouldn't love to have the opportunity to see the Panama Canal!

All you have to do is join the Seagoing Cowboys.

As you can clearly tell, being a Seagoing Cowboy is truly a great expirience.

We get to help those in need, and also have the chance to see historic landmarks around the world.

I hope that soon, you will decide to be like Don and I and join the UNRRA and become a Seagoing Cowboy.",3
